,0,1,2,3,4,5,6
112,74,74,76,74,74,69,74
113,80,80,69,80,69,69,80
114,75,69,69,69,75,69,69
115,79,79,79,79,69,69,79
116,69,69,69,77,69,69,69
117,73,74,73,73,88,73,74
118,73,69,69,74,69,74,73
119,67,79,67,79,67,67,67
120,77,69,78,77,69,78,69
121,89,73,89,73,69,89,89
122,77,69,77,77,69,77,77
123,69,83,77,83,83,83,83
124,69,69,85,80,85,85,80
125,69,69,86,69,80,69,80
126,80,80,69,69,69,80,69
127,80,80,78,45,78,73,45
128,73,88,69,88,69,73,88
129,69,69,88,78,80,80,69
130,78,78,78,78,78,69,69
131,86,80,86,34,80,86,86
132,74,12,76,84,80,74,80
133,80,80,80,12,80,12,12
134,80,80,80,14,14,14,14
135,85,87,88,88,87,85,41
136,12,80,12,12,12,80,12
137,80,69,69,69,80,80,80
138,76,76,77,77,69,77,76
139,42,76,77,77,77,42,77
140,76,76,74,66,66,74,66
141,74,27,27,76,27,76,87
142,84,84,84,74,84,74,44
143,84,84,38,38,38,38,84
144,61,61,88,73,73,73,73
145,88,87,88,73,73,88,73
146,80,69,80,80,80,80,69
147,88,73,69,69,88,88,73
148,73,73,74,73,74,69,69
149,80,69,69,69,69,69,80
150,69,80,69,69,77,77,77
151,74,44,76,74,74,44,77
152,87,46,46,46,77,77,87
153,61,77,77,77,77,77,61
154,52,77,77,77,52,52,52
155,86,86,60,84,86,84,84
156,88,88,78,65,65,65,78
157,59,80,59,59,80,89,80
158,62,77,77,62,62,77,62
159,88,88,65,65,65,88,88
160,65,80,80,65,80,65,80
161,59,86,86,59,73,86,59
162,54,80,54,80,54,80,80
163,47,47,77,47,77,47,47
164,62,74,73,74,87,87,88
165,80,80,59,80,59,59,80
166,59,80,59,80,59,59,59
167,53,77,77,77,53,77,77
168,47,77,47,77,47,47,47
169,75,66,77,77,66,66,75
170,86,80,80,80,80,86,61
171,64,77,64,64,77,87,77
172,87,87,87,80,89,80,73
173,77,60,60,86,73,60,73
174,74,54,74,54,73,73,54
175,87,58,87,58,87,58,58
176,88,89,89,59,88,87,59
177,39,90,90,73,90,90,39
178,80,80,30,30,80,80,80
179,44,44,87,87,44,44,44
180,80,80,80,52,52,89,52
181,89,73,74,86,86,86,86
182,78,63,80,63,80,80,63
183,88,83,87,87,87,52,83
184,66,73,87,73,87,87,87
185,86,88,33,83,83,83,83
186,77,84,53,53,53,73,53
187,73,73,78,73,78,73,47
188,89,60,80,73,89,73,73
189,65,77,75,77,75,75,75
190,80,80,62,89,80,80,80
191,80,85,57,80,57,57,85
192,53,53,80,53,53,53,53
193,80,56,80,80,56,80,80
194,78,78,46,46,46,78,78
195,87,73,73,88,87,88,57
196,80,80,62,62,62,62,80
197,86,40,40,80,86,40,86
198,63,88,88,88,63,88,88
199,80,89,89,89,80,89,89
200,83,53,53,83,53,83,53
201,60,77,60,60,74,83,74
202,77,77,66,77,86,66,66
203,65,65,65,65,90,65,65
204,58,58,77,58,58,77,87
205,80,80,89,80,43,80,80
206,75,87,75,74,87,61,87
207,86,73,73,73,73,80,73
208,83,47,83,83,77,77,77
209,84,57,84,77,84,84,80
210,73,73,62,74,73,73,73
211,43,43,43,77,77,77,43
212,61,61,61,80,61,80,80
213,86,86,59,59,80,80,86
214,89,89,89,89,80,89,80
215,62,80,62,80,62,80,80
216,62,62,62,77,86,86,77
217,83,86,65,65,86,86,65
218,64,88,88,88,64,64,64
219,83,57,57,57,83,83,83
220,86,86,77,77,77,69,69
221,69,80,80,80,69,80,80
222,73,74,69,69,73,69,74
223,80,69,80,69,69,69,88
224,69,69,69,69,69,69,80
225,69,77,76,76,69,69,69
226,63,73,88,73,88,73,73
227,64,87,73,74,74,74,87
228,73,55,73,74,73,87,55
229,57,57,73,87,87,87,57
230,87,87,87,74,73,87,87
231,74,73,73,78,74,73,65
232,73,77,77,77,77,77,61
233,65,73,65,73,65,65,65
234,73,73,73,83,48,48,83
235,73,89,77,73,77,77,73
236,69,69,77,77,69,69,69
237,69,69,86,86,86,86,86
238,77,60,60,77,60,60,60
239,80,80,87,87,78,80,78
240,69,77,77,75,75,75,75
241,86,89,73,73,89,73,73
242,77,77,70,77,77,77,77
243,70,77,76,77,76,76,70
244,73,70,70,80,73,70,80
245,88,89,70,70,80,80,89
246,70,80,70,70,80,80,70
247,73,73,70,73,70,76,74
248,78,70,77,78,70,70,77
249,77,77,70,77,77,77,70
250,70,70,70,70,70,70,70
251,77,70,77,70,70,77,77
252,70,87,70,73,87,70,87
253,80,70,70,80,70,70,86
254,70,74,74,70,73,74,74
255,77,77,70,86,86,86,86
256,77,70,70,70,86,77,77
257,77,74,70,77,74,87,77
258,70,87,87,87,70,87,87
259,70,70,77,70,77,77,77
260,85,85,73,73,73,87,85
261,77,77,76,76,76,76,76
262,80,70,70,70,70,80,70
263,70,70,70,70,70,70,73
264,88,70,87,88,70,88,87
265,63,88,88,73,73,88,73
266,70,73,73,70,74,74,73
267,72,72,0,0,72,72,0
268,80,70,70,70,80,70,70
269,70,70,70,77,77,77,77
270,87,70,80,70,80,70,87
271,74,70,73,89,74,74,87
272,80,70,80,70,70,80,80
273,88,68,78,68,78,88,78
274,86,86,77,86,86,68,68
275,86,68,68,68,86,86,68
276,80,68,86,86,80,80,86
277,80,68,68,68,68,68,80
278,69,69,80,80,80,69,80
279,68,68,80,68,68,80,80
280,80,69,86,80,80,86,86
281,88,67,67,73,88,73,67
282,80,80,69,80,69,80,69
283,69,80,80,80,80,80,69
284,69,86,86,69,77,69,69
285,80,80,80,80,69,80,69
286,80,89,69,89,89,80,86
287,69,80,69,80,80,69,69
288,83,83,83,88,83,88,88
289,84,80,80,80,69,84,80
290,77,70,77,77,70,70,77
291,85,70,85,70,70,88,70
292,80,70,70,80,80,80,70
293,80,70,78,80,70,78,80
294,77,77,70,77,70,70,77
295,88,88,88,73,70,88,73
296,80,70,70,80,70,80,70
297,70,70,80,70,80,80,70
298,70,70,73,70,73,73,88
299,70,80,82,78,78,82,78
300,73,73,88,70,73,70,73
301,77,77,70,77,70,77,77
302,78,88,85,82,82,70,78
303,70,70,70,70,70,80,80
304,74,69,69,69,76,76,76
305,70,70,80,70,80,80,70
306,70,86,86,80,80,70,80
307,78,88,88,83,70,85,88
308,80,76,76,76,80,81,81
309,78,70,78,78,70,78,78
310,70,80,80,70,70,80,70
311,80,86,86,86,70,70,86
312,78,80,70,70,80,77,78
313,73,70,80,73,80,86,80
314,73,70,76,70,70,76,70
315,80,71,80,88,88,80,88
316,77,80,77,70,77,70,80
317,80,66,66,80,66,80,80
318,66,66,89,80,66,89,89
319,86,86,86,84,86,84,69
320,79,69,79,69,79,69,69
321,69,69,69,77,77,69,69
322,85,85,70,70,85,85,88
323,88,70,73,70,70,73,88
324,85,70,85,70,70,70,85
325,88,88,80,88,80,70,80
326,73,70,70,89,80,80,80
327,70,70,70,78,85,70,80
328,70,73,88,73,85,85,85
329,71,88,80,78,88,71,71
330,70,80,70,80,80,80,70
331,70,74,70,70,88,70,70
332,78,78,80,80,88,88,70
333,70,70,88,88,88,88,85
334,70,78,73,70,78,73,85
335,77,70,70,70,77,70,70
336,88,88,70,78,70,78,70
337,70,77,80,80,77,88,70
338,70,77,70,77,70,77,77
339,80,70,80,73,73,73,70
340,70,80,80,80,70,70,70
341,70,70,77,70,70,70,77
342,77,77,70,85,85,85,77
343,73,87,87,70,70,83,70
344,70,70,70,70,80,70,70
345,77,77,70,70,70,77,80
346,80,78,78,70,70,80,78
347,71,77,71,71,71,71,71
348,80,80,88,78,78,78,71
349,71,88,73,73,88,71,88
350,85,73,88,73,85,85,85
351,71,83,71,83,83,83,71
352,70,84,70,70,84,77,70
353,71,73,83,83,87,83,83
354,71,86,77,71,77,71,71
355,71,87,87,71,87,74,88
356,88,80,80,80,88,88,85
357,80,80,80,80,80,48,48
358,70,88,87,73,74,70,87
359,88,70,88,70,88,70,88
360,70,70,79,70,79,79,70
361,78,70,70,88,70,88,70
362,71,77,71,84,84,77,73
363,68,68,68,68,68,73,73
364,68,68,77,77,68,68,68
365,68,68,80,80,68,68,80
366,68,68,68,68,80,68,68
367,77,77,77,77,68,68,77
368,69,69,77,69,69,77,77
369,69,69,69,69,77,69,77
370,69,80,88,88,80,88,88
371,80,80,69,80,86,69,86
372,77,68,68,68,77,68,68
373,87,73,73,73,68,74,87
374,73,73,76,76,73,68,76
375,68,80,80,80,80,68,68
376,67,67,67,77,67,77,67
377,76,76,76,77,76,76,67
378,67,80,67,80,67,80,80
379,83,83,83,68,68,83,83
380,74,74,73,67,74,74,74
381,67,77,86,77,67,67,86
382,80,77,77,67,77,80,80
383,67,76,77,77,67,76,67
384,67,77,77,67,67,67,77
385,86,74,74,73,67,67,74
386,66,66,77,77,66,77,66
387,80,80,80,80,80,80,66
388,77,73,73,67,67,77,73
389,67,67,67,74,67,67,76
390,66,77,66,77,66,77,66
391,66,73,66,66,66,77,73
392,80,80,80,66,66,66,66
393,66,77,77,66,66,66,66
394,77,67,77,67,86,85,67
395,77,77,66,77,77,66,77
396,67,77,83,67,78,67,67
397,66,73,73,73,66,66,66
398,66,87,73,73,73,66,66
399,74,77,74,66,73,74,74
400,67,76,77,76,77,67,76
401,68,68,68,68,77,68,77
402,86,88,88,77,63,88,88
403,73,74,73,74,78,73,73
404,75,76,75,76,13,76,76
405,85,74,73,69,74,69,85
406,83,88,69,83,88,83,83
407,69,77,77,69,69,69,77
408,75,88,77,75,77,75,88
409,69,77,80,77,77,80,69
410,77,77,77,77,69,69,69
411,86,87,77,69,81,87,86
412,69,77,77,69,77,77,69
413,69,83,69,83,69,69,83
414,55,55,55,55,55,55,77
415,77,76,48,90,77,90,77
416,30,30,30,80,80,76,76
417,76,76,76,76,34,76,76
418,23,84,75,84,23,84,84
419,76,76,84,84,37,76,84
420,24,24,76,24,75,84,84
421,86,86,69,86,80,80,86
422,77,75,75,69,77,76,75
423,81,81,87,76,55,87,80
424,83,69,83,83,83,69,83
425,65,77,77,77,77,65,77
426,88,88,76,88,73,76,89
427,35,35,35,80,80,80,80
428,77,44,44,77,44,44,77
429,24,24,24,24,24,80,80
430,77,6,89,6,89,77,6
431,74,73,59,59,59,74,74
432,75,84,84,76,84,84,75
433,77,77,62,77,77,62,62
434,87,87,87,87,29,87,29
435,42,42,77,73,73,90,77
436,54,54,83,83,83,54,83
437,65,65,65,65,65,65,83
438,83,83,56,56,83,56,56
439,66,66,83,83,83,83,66
440,55,55,55,55,55,83,83
441,52,52,83,83,83,83,52
442,83,83,63,63,83,63,63
443,83,36,83,36,83,36,83
444,83,31,83,31,87,83,83
445,83,83,83,18,83,18,83
446,49,49,49,49,49,49,83
447,83,49,83,83,83,83,49
448,83,49,83,83,49,83,49
449,73,73,52,52,73,74,87
450,73,62,74,87,62,62,87
451,51,77,51,86,51,84,84
452,83,73,83,73,51,51,73
453,56,56,83,73,83,83,73
454,69,80,80,69,69,80,69
455,70,73,73,73,73,73,73
456,77,77,70,77,70,77,70
457,70,76,74,76,80,76,70
458,68,68,80,80,68,80,80
459,68,68,80,68,80,68,68
460,68,80,68,68,68,80,80
461,80,80,68,68,68,80,80
462,86,86,80,80,80,80,86
463,74,67,74,67,67,67,67
464,67,80,80,67,80,67,67
465,67,76,67,74,67,67,76
466,65,88,88,88,65,88,88
467,80,66,80,66,80,80,66
468,80,66,66,80,80,66,80
469,80,80,66,80,80,66,66
470,90,66,90,66,90,66,66
471,89,80,69,69,80,89,69
472,81,69,73,69,73,73,74
473,75,75,76,84,84,76,76
474,89,87,89,87,87,36,36
475,80,80,80,69,69,69,69
476,77,69,77,69,77,77,77
477,69,77,76,76,69,77,77
478,13,86,13,13,13,77,86
479,88,88,31,88,85,88,85
480,32,32,77,88,77,77,32
481,80,77,77,80,33,77,33
482,78,32,32,77,32,32,78
483,80,15,89,89,80,80,15
484,14,14,14,85,14,14,82
485,86,86,86,37,37,37,84
486,77,27,86,86,86,27,77
487,77,86,26,86,77,77,26
488,23,82,23,23,82,23,82
489,19,82,82,88,19,82,19
490,28,28,77,86,88,88,88
491,11,73,11,11,74,11,74
492,80,28,28,80,28,28,28
493,7,7,7,85,7,7,85
494,13,77,13,77,13,77,77
495,74,74,74,29,77,77,29
496,19,19,80,80,80,80,80
497,77,77,77,11,77,11,11
498,86,73,86,86,89,86,89
499,31,80,31,31,31,31,31
500,76,69,76,69,76,76,69
501,14,76,76,84,84,14,75
502,77,44,44,44,77,89,44
503,45,45,80,80,45,80,45
504,40,78,80,40,78,40,78
505,85,85,88,27,88,85,27
506,28,28,28,80,80,80,28
507,80,80,24,24,24,80,24
508,69,80,80,80,69,80,69
509,80,62,80,62,62,62,80
510,80,27,90,73,27,90,27
511,35,35,74,35,89,74,35
512,80,86,60,77,86,86,77
513,85,22,85,88,22,85,85
514,50,50,50,86,50,86,77
515,80,73,70,70,73,70,89
516,56,77,56,56,56,56,56
517,80,86,80,52,52,77,52
518,63,63,80,63,80,63,80
519,21,21,74,74,74,21,21
520,36,36,74,74,89,74,74
521,89,89,51,89,89,51,89
522,80,77,59,77,59,59,77
523,40,40,77,80,77,77,77
524,13,77,77,13,77,77,13
525,85,19,19,85,85,82,85
526,32,74,32,73,32,32,73
527,55,55,55,55,55,80,80
528,80,80,57,80,57,57,80
529,80,80,58,58,58,80,80
530,48,48,48,74,48,74,74
531,69,86,69,69,86,69,80
532,86,70,86,70,86,70,70
533,70,85,70,70,70,85,70
534,80,70,70,80,80,70,70
535,86,77,77,70,86,70,70
536,80,70,80,70,80,70,80
537,80,80,80,80,64,80,80
538,70,84,84,70,75,84,70
539,76,70,76,77,70,76,76
540,73,68,68,73,68,68,73
541,68,74,68,68,73,74,73
542,84,76,84,75,75,86,68
543,84,80,68,80,68,68,80
544,80,80,86,86,80,86,78
545,77,86,77,68,68,68,68
546,73,73,69,69,88,73,69
547,69,78,69,69,69,78,69
548,69,69,81,76,81,69,81
549,89,89,86,86,80,68,86
550,73,88,73,73,73,88,73
551,83,68,68,68,83,68,83
552,87,87,87,87,87,68,87
553,80,86,86,80,68,68,86
554,68,74,68,73,73,74,74
555,80,68,80,68,80,68,80
556,68,90,90,90,90,68,68
557,80,84,80,67,84,67,67
558,80,81,80,88,88,67,67
559,83,80,80,67,80,67,67
560,87,76,68,77,86,74,74
561,83,83,67,67,83,80,67
562,90,90,90,74,74,90,73
563,68,83,68,83,83,68,83
564,77,83,77,68,68,83,77
565,68,68,88,88,68,68,88
566,73,73,74,88,67,67,73
567,83,83,67,67,67,67,67
568,88,73,86,86,73,88,67
569,80,83,80,67,80,83,67
570,90,67,67,90,90,67,90
571,88,77,77,66,66,66,88
572,67,67,88,88,67,88,67
573,88,66,83,88,87,83,88
574,66,86,86,85,85,86,66
575,90,67,77,67,77,90,67
576,66,66,78,73,78,78,66
577,77,66,87,77,77,87,87
578,87,66,87,73,73,73,73
579,66,66,66,66,77,66,77
580,86,86,77,68,77,68,68
581,80,66,66,88,80,80,88
582,66,86,66,66,66,80,80
583,66,88,66,66,66,78,66
584,80,80,66,66,80,80,76
585,77,66,66,66,66,77,77
586,73,67,67,73,73,73,67
587,66,66,85,66,66,66,66
588,84,75,64,84,76,75,84
589,42,42,90,90,90,90,42
590,69,87,73,69,83,87,69
591,88,80,80,80,69,88,88
592,85,88,85,85,88,88,68
593,89,66,89,66,89,66,66
594,80,69,69,86,80,86,69
595,88,88,88,69,69,88,88
596,76,84,84,84,76,84,69
597,73,69,73,73,73,73,88
598,77,80,69,69,80,80,80
599,69,69,73,73,69,73,69
600,69,69,76,69,76,76,69
601,16,89,16,89,74,74,16
602,24,84,86,24,24,24,84
603,88,85,85,88,85,27,27
604,77,7,7,77,77,7,77
605,84,84,84,17,17,84,84
606,23,80,23,80,80,23,23
607,88,88,13,86,13,86,86
608,86,18,88,86,85,85,88
609,23,23,23,77,23,77,23
610,31,84,31,31,31,84,84
611,85,17,17,85,78,17,82
612,80,80,10,80,80,10,80
613,77,9,9,77,9,77,77
614,80,80,80,80,80,29,29
615,88,8,88,88,88,88,8
616,87,41,83,41,41,87,83
617,80,80,3,3,80,80,80
618,80,80,28,28,80,28,80
619,80,80,88,88,88,80,69
620,69,69,80,80,80,80,80
621,28,28,90,28,90,28,28
622,74,74,33,76,33,74,33
623,77,77,77,67,67,76,67
624,76,75,84,18,76,18,84
625,36,36,75,75,76,76,36
626,76,80,76,76,22,22,22
627,80,80,64,80,80,64,64
628,69,69,80,80,80,80,78
629,77,77,84,77,77,77,84
630,77,84,77,84,77,84,38
631,80,80,65,86,73,80,89
632,80,80,55,80,80,80,55
633,80,80,80,11,80,80,11
634,79,79,69,69,79,79,69
635,83,83,53,83,83,83,83
636,88,88,87,73,73,88,88
637,83,83,77,54,83,83,54
638,55,55,80,55,80,80,55
639,52,52,80,52,52,80,80
640,80,62,80,80,80,80,62
641,80,89,80,89,89,80,30
642,63,82,63,82,63,82,63
643,67,80,67,67,67,86,86
644,61,61,79,79,61,79,79
645,63,63,79,79,79,79,79
646,90,42,90,42,90,90,42
647,80,80,58,58,89,80,89
648,25,77,25,86,25,77,86
649,80,57,78,57,88,57,78
650,30,80,30,30,80,80,80
651,80,73,80,80,89,80,73
652,77,77,63,80,80,63,80
653,31,88,82,82,82,31,82
654,85,85,82,82,85,82,85
655,74,80,59,80,77,77,80
656,78,78,78,82,4,88,88
657,82,88,35,82,88,35,82
658,63,63,80,80,63,80,63
659,77,88,77,85,85,88,17
660,64,80,64,80,64,80,80
661,25,90,90,90,25,25,25
662,53,53,80,53,53,80,86
663,52,77,77,52,77,52,77
664,80,80,80,57,57,80,57
665,73,83,65,88,65,73,87
666,47,47,47,83,83,83,47
667,83,83,83,83,83,50,83
668,54,73,83,54,73,54,73
669,83,83,83,83,64,83,64
670,88,88,88,66,66,88,87
671,83,8,8,83,83,83,8
672,83,83,65,65,83,65,83
673,35,88,35,35,35,88,82
674,55,83,83,55,55,55,83
675,83,1,1,1,83,83,1
676,80,69,80,69,69,80,69
677,79,79,79,70,70,79,70
678,80,70,80,70,70,80,80
679,73,54,74,54,73,73,54
680,74,74,74,74,74,73,74
681,83,70,83,83,70,70,83
682,88,88,85,83,85,85,85
683,70,77,77,70,77,77,77
684,73,73,88,66,73,66,73
685,69,73,69,69,69,73,73
686,73,66,80,80,73,66,80
687,77,89,77,89,77,77,89
688,70,70,70,70,77,77,70
689,70,88,70,88,88,88,73
690,89,80,80,80,89,89,89
691,71,88,87,87,71,88,87
692,86,86,68,80,86,80,77
693,68,68,80,80,68,68,80
694,68,86,68,86,68,86,68
695,80,77,68,77,68,77,68
696,69,80,80,88,69,80,69
697,68,68,68,80,68,68,80
698,67,67,67,67,67,80,80
699,80,80,80,67,80,67,80
700,77,68,68,77,68,68,77
701,66,79,79,79,66,79,79
702,67,86,77,67,77,67,77
703,67,80,80,67,80,67,80
704,66,80,66,86,80,66,86
705,86,84,86,25,25,84,25
706,83,83,83,69,83,83,69
707,64,64,80,80,80,80,80
708,62,80,62,62,80,80,80
709,77,65,65,77,86,86,86
710,77,77,77,77,77,77,77
711,80,69,80,80,69,69,80
712,80,80,80,80,60,60,60
713,80,68,80,80,80,68,68
714,80,86,80,86,86,86,86
715,68,68,77,80,68,80,68
716,86,86,80,80,68,86,68
717,88,69,69,88,80,80,69
718,69,69,77,69,69,69,69
719,77,67,67,77,89,89,67
720,73,86,74,86,74,68,80
721,77,77,77,68,68,68,77
722,68,68,68,77,68,77,68
723,80,77,77,77,80,80,68
724,80,80,80,80,86,80,86
725,67,77,67,77,67,77,77
726,68,76,76,80,76,80,80
727,86,67,80,80,67,80,80
728,77,87,67,67,87,67,87
729,67,67,80,80,67,80,67
730,69,86,69,86,80,80,80
731,67,86,86,77,77,86,80
732,66,66,66,77,66,86,86
733,67,67,67,80,86,86,86
734,66,77,66,66,66,66,66
735,66,80,80,80,66,80,80
736,66,86,66,86,66,86,66
737,67,77,77,77,80,67,80
738,67,67,67,86,86,86,67
739,86,63,86,77,86,86,77
740,69,80,80,80,86,69,69
741,88,80,69,69,88,88,80
742,69,69,69,80,69,80,80
743,88,73,73,69,88,69,88
744,69,80,80,89,69,69,80
745,77,77,45,45,45,77,77
746,77,77,77,58,77,77,77
747,66,66,77,86,66,66,86
748,88,86,88,73,88,88,88
749,77,77,77,77,70,86,70
750,80,80,70,80,70,70,70
751,70,86,73,88,70,88,86
752,73,73,71,73,73,71,73
753,67,67,80,67,67,80,80
754,78,70,88,70,70,70,78
755,81,73,81,74,81,68,68
756,68,68,77,77,68,77,68
757,68,68,68,79,68,79,79
758,88,88,69,69,87,88,88
759,68,73,68,73,73,68,73
760,68,87,68,68,68,87,68
761,68,73,88,73,68,88,68
762,69,80,80,69,80,69,69
763,69,77,69,69,69,77,69
764,77,86,69,77,86,77,77
765,86,86,77,65,77,86,65
766,79,69,79,79,69,69,69
767,68,83,68,68,68,83,83
768,76,68,68,76,74,76,76
769,74,74,68,73,74,68,74
770,88,88,78,82,85,88,68
771,68,73,88,68,87,68,73
772,80,80,80,80,80,68,68
773,67,88,67,67,67,88,88
774,83,68,68,68,83,68,68
775,86,86,77,80,80,80,86
776,68,80,80,68,68,68,68
777,68,68,83,83,83,83,83
778,86,86,86,80,80,68,80
779,73,73,73,73,73,73,73
780,77,77,67,77,77,77,67
781,86,68,68,77,86,77,86
782,67,67,80,80,80,67,67
783,86,67,77,77,67,86,86
784,80,66,83,66,80,83,83
785,86,77,86,67,77,86,67
786,68,86,68,77,86,86,68
787,80,77,68,80,68,80,80
788,88,83,67,83,83,88,88
789,68,80,80,68,77,77,77
790,68,68,77,77,77,77,68
791,68,68,68,76,76,68,76
792,77,67,77,67,77,77,67
793,77,77,67,67,67,77,67
794,86,80,86,67,86,80,67
795,76,77,67,67,77,77,76
796,86,67,86,86,67,67,77
797,73,87,87,73,73,73,67
798,68,73,68,73,68,73,73
799,80,80,80,80,68,68,68
800,83,68,83,88,88,88,88
801,77,77,77,77,77,67,77
802,78,78,78,78,88,88,74
803,80,73,89,66,73,89,66
804,77,77,67,77,67,77,77
805,66,77,77,66,66,77,66
806,66,78,78,80,78,66,80
807,80,80,80,80,66,80,80
808,66,80,73,66,73,66,73
809,80,85,85,80,85,66,85
810,67,73,73,73,73,67,73
811,66,79,66,66,66,66,79
812,67,74,67,74,74,76,67
813,69,69,79,69,79,79,69
814,79,79,67,67,67,67,79
815,69,80,80,69,80,69,69
816,83,68,68,68,68,68,83
817,69,80,80,80,69,80,69
818,69,69,69,69,69,69,77
819,77,77,69,77,77,77,69
820,76,74,76,77,81,69,77
821,69,69,69,86,69,86,77
822,80,41,80,80,41,41,80
823,82,82,69,82,82,69,69
824,69,77,77,77,69,77,69
825,73,87,69,69,88,69,73
826,69,74,69,69,69,74,74
827,73,74,73,74,74,88,88
828,74,74,74,76,76,69,76
829,69,73,74,74,69,73,74
830,88,88,69,85,73,85,85
831,69,87,69,73,88,87,74
832,81,69,76,80,81,81,81
833,69,69,73,69,69,69,69
834,88,83,83,83,83,68,68
835,7,84,84,7,77,7,77
836,77,77,86,77,86,77,12
837,80,14,14,80,80,14,14
838,69,69,73,69,69,73,73
839,88,88,88,88,88,83,88
840,90,90,69,73,90,80,69
841,73,88,88,88,73,88,88
842,80,77,76,77,77,76,76
843,32,32,76,76,77,76,32
844,69,69,78,78,78,69,78
845,69,69,69,69,69,77,77
846,80,80,86,69,80,69,80
847,69,69,79,79,69,69,79
848,88,17,17,17,82,88,88
849,63,73,63,73,63,73,63
850,79,69,79,79,79,79,69
851,80,80,39,39,39,39,80
852,80,88,80,88,69,88,88
853,65,65,83,65,65,65,77
854,60,77,77,77,83,60,60
855,73,73,85,88,86,54,88
856,77,64,64,64,77,80,64
857,79,69,79,79,69,69,69
858,69,69,83,69,69,69,69
859,83,77,77,83,77,77,83
860,83,60,83,60,88,60,60
861,59,83,59,59,83,59,83
862,74,77,74,77,76,69,74
863,80,69,69,69,69,80,69
864,77,77,69,69,69,77,77
865,80,80,80,70,70,80,80
866,69,69,77,86,69,77,69
867,69,80,69,80,69,80,80
868,70,70,70,70,80,70,80
869,70,70,86,77,70,70,86
870,70,70,70,86,86,86,86
871,77,70,77,70,77,70,77
872,70,70,70,70,70,86,86
873,77,70,86,77,86,86,86
