,0,1,2,3
584,11,11,11,11
585,1,1,1,1
586,1,8,8,8
587,11,11,11,11
588,5,5,5,5
589,15,19,15,19
590,28,28,28,28
591,11,11,28,11
592,28,28,28,28
593,9,9,15,9
594,11,9,28,28
595,15,15,15,15
596,20,20,20,20
597,12,12,12,12
598,11,11,11,11
599,9,9,17,28
600,18,18,18,18
601,17,28,17,28
602,6,6,6,6
603,15,15,15,15
604,5,5,11,11
605,11,8,8,11
606,15,15,15,15
607,17,9,17,9
608,28,14,14,14
609,15,15,6,6
610,28,28,28,28
611,8,5,8,5
612,10,26,10,26
613,6,9,9,6
614,15,15,15,15
615,19,19,28,28
616,8,8,8,8
617,10,10,10,10
618,19,11,11,19
619,8,8,8,8
620,15,15,15,15
621,8,8,8,8
622,28,28,28,28
623,5,5,5,5
624,28,28,28,28
625,10,10,10,10
626,6,6,8,8
627,8,8,26,5
628,26,26,26,26
629,6,6,6,6
630,15,15,15,15
631,12,12,6,6
632,9,28,28,28
633,1,1,1,1
634,12,6,12,6
635,17,17,17,17
636,11,7,11,7
637,11,11,11,11
638,10,25,10,10
639,9,28,9,9
640,1,8,1,1
641,28,28,28,28
642,19,19,28,19
643,28,9,28,9
644,13,13,13,13
645,26,8,26,15
646,9,28,9,28
647,12,12,13,13
648,5,5,5,5
649,28,28,28,28
650,8,8,8,8
651,10,10,10,10
652,28,28,28,28
653,12,12,12,12
654,8,8,8,8
655,11,27,11,11
656,6,6,7,7
657,28,6,28,28
658,8,8,1,6
659,26,8,8,8
660,8,8,5,8
661,8,5,8,26
662,25,11,25,25
663,28,28,28,28
664,28,9,9,9
665,9,9,28,28
666,6,6,6,6
667,15,15,15,15
668,8,8,8,8
669,26,10,10,26
670,8,8,8,8
671,9,9,25,9
672,28,9,9,9
673,28,28,28,28
674,2,2,26,2
675,6,6,6,6
676,8,8,8,8
677,1,1,1,1
678,7,7,7,7
679,26,26,26,26
680,28,28,28,28
681,26,8,8,8
682,26,26,26,2
683,8,8,8,8
684,26,26,26,26
685,6,6,8,6
686,9,28,28,28
687,5,5,5,5
688,11,11,12,12
689,15,8,19,11
690,19,19,28,19
691,28,28,14,28
692,3,28,3,28
693,8,8,8,26
694,12,12,12,12
695,11,11,11,11
696,15,15,15,25
697,26,26,26,26
698,28,28,28,28
699,8,8,8,8
700,17,17,17,17
701,28,28,28,28
702,5,5,5,5
703,11,11,19,19
704,17,17,17,17
705,28,8,28,28
706,28,28,28,28
707,11,11,11,5
708,11,11,7,7
709,6,6,6,6
710,12,12,12,12
711,9,9,6,6
712,6,11,6,6
713,14,14,14,15
714,1,1,1,1
715,26,20,20,26
716,9,9,9,9
717,7,7,7,7
718,9,9,9,25
719,5,5,5,5
720,26,25,26,25
721,28,28,28,28
722,26,26,8,26
723,28,28,18,18
724,8,8,8,8
725,11,28,25,25
726,11,11,1,1
727,11,11,11,11
728,11,15,11,15
729,7,7,28,28
730,28,28,28,28
731,28,28,28,28
732,5,5,5,5
733,10,26,8,8
734,11,26,26,26
735,6,11,11,11
736,15,15,15,15
737,7,6,6,6
738,28,28,28,28
739,14,0,14,6
740,13,13,13,13
741,28,28,28,28
742,28,28,28,28
743,6,8,6,6
744,26,26,26,26
745,26,26,26,26
746,1,1,1,1
747,9,9,9,9
748,15,15,15,15
749,9,9,9,9
750,18,18,18,18
751,11,11,8,8
752,11,6,12,19
753,9,9,11,11
754,6,6,6,6
755,28,11,11,28
756,20,20,20,20
757,6,6,6,6
758,8,8,8,8
759,11,11,11,11
760,7,7,7,7
761,15,15,15,15
762,5,5,5,8
763,11,28,11,28
764,8,8,8,8
765,28,28,19,19
766,6,6,8,8
767,26,20,26,20
768,28,28,28,28
769,5,5,5,5
770,5,26,8,10
771,8,2,8,2
772,11,6,11,6
773,2,10,15,15
774,6,8,19,26
775,12,12,12,12
776,6,6,6,6
777,28,28,28,28
778,5,5,20,5
779,28,9,9,9
780,6,6,6,6
781,11,5,11,11
782,9,6,6,9
783,13,13,13,13
784,16,16,16,16
785,28,28,9,9
786,25,28,25,28
787,28,28,28,28
788,2,2,2,2
789,2,2,2,2
790,5,5,5,5
791,11,11,11,11
792,0,19,19,0
793,26,26,26,8
794,9,28,9,28
795,6,6,6,6
796,8,8,20,20
797,28,9,9,28
798,7,7,7,7
799,11,11,11,11
800,26,26,26,26
801,5,5,5,5
802,7,7,7,7
803,26,17,17,26
804,15,15,6,6
805,11,11,11,11
806,9,6,6,9
807,28,28,28,28
808,10,10,10,10
809,3,3,3,3
810,26,26,26,26
811,6,6,6,6
812,28,28,28,28
813,20,20,20,3
814,25,25,11,25
815,8,26,5,26
816,8,8,8,8
817,22,22,22,22
818,5,5,5,5
819,26,5,5,5
820,6,6,6,6
821,2,2,2,2
822,8,6,8,6
823,9,9,9,6
824,8,8,8,8
825,19,6,19,19
826,7,7,7,7
827,26,26,10,26
828,12,12,12,12
829,11,11,8,8
830,11,11,11,11
831,6,6,6,6
832,7,7,7,7
833,28,28,28,28
834,26,20,20,26
835,9,9,9,25
836,28,9,28,28
837,12,12,12,12
838,11,11,11,11
839,28,28,28,28
840,20,20,20,20
841,8,6,6,6
842,13,13,13,13
843,7,7,7,7
844,0,13,13,13
845,20,15,15,15
846,5,5,5,5
847,9,9,9,9
848,10,10,10,10
849,28,28,28,28
850,8,8,8,8
851,28,25,25,28
852,28,17,6,28
853,8,8,8,8
854,8,8,8,8
855,7,7,7,7
856,28,28,28,28
857,25,25,25,25
858,6,6,6,6
859,17,17,28,28
860,1,1,1,1
861,28,28,28,28
862,2,2,2,2
863,25,25,25,25
864,6,6,6,6
865,11,11,8,11
866,12,6,12,12
867,16,16,16,16
868,11,11,11,11
869,19,19,19,19
870,15,15,19,19
871,26,26,26,26
872,12,12,12,12
873,9,6,9,6
874,12,12,12,12
875,18,18,18,18
876,8,8,8,8
877,28,28,28,28
878,7,7,7,7
879,5,15,15,5
880,5,5,5,5
881,2,2,2,2
882,11,11,11,11
883,6,6,6,6
884,26,26,26,26
885,1,26,1,1
886,11,11,11,11
887,26,8,26,26
888,5,5,5,5
889,5,5,5,5
890,28,17,17,17
891,25,25,25,25
892,24,24,24,24
893,28,28,28,28
894,8,8,8,8
895,26,26,26,26
896,8,8,26,26
897,28,28,28,28
898,3,3,3,3
899,11,9,9,11
900,15,15,15,15
901,28,28,28,17
902,19,19,19,19
903,17,17,17,17
904,28,28,28,28
905,19,11,11,11
906,28,28,28,28
907,8,8,8,8
908,8,8,8,8
909,6,6,6,6
910,28,9,28,9
911,19,19,19,19
912,11,11,11,11
913,11,11,11,11
914,28,28,28,9
915,19,19,19,19
916,8,8,8,8
917,20,10,10,26
918,16,16,16,16
919,6,6,6,6
920,25,25,25,25
921,11,11,11,11
922,3,3,3,3
923,19,19,19,19
924,9,9,9,9
925,26,26,26,26
926,11,11,11,11
927,5,5,5,5
928,9,9,9,9
929,17,17,17,17
930,6,6,6,6
931,5,5,5,5
932,11,8,8,8
933,11,11,11,11
934,11,11,11,11
935,26,26,26,26
936,9,9,9,9
937,1,1,1,1
938,12,12,12,12
939,1,25,1,1
940,2,2,2,2
941,11,11,5,11
942,1,1,1,1
943,19,19,19,19
944,11,11,11,11
945,9,28,28,28
946,19,19,19,19
947,6,6,11,6
948,11,11,11,8
949,6,6,6,6
950,11,19,11,19
951,28,19,28,19
952,15,15,15,15
953,11,11,11,11
954,28,28,13,13
955,11,11,11,11
956,12,12,12,12
957,5,5,5,5
958,11,11,11,11
959,11,11,11,11
960,7,7,7,7
961,28,28,28,28
962,9,9,9,9
963,13,13,13,13
964,1,1,1,1
965,11,11,11,11
966,11,11,11,11
967,8,8,8,8
968,19,19,19,19
969,12,12,12,12
970,19,19,19,19
971,2,2,2,2
972,11,11,11,11
973,8,8,8,8
974,7,7,7,7
975,11,6,6,6
976,11,11,11,11
977,7,7,7,7
978,15,6,6,6
979,13,13,13,13
980,2,2,2,2
981,26,26,26,26
982,3,3,3,3
983,28,28,28,28
984,11,11,11,11
985,1,1,1,1
986,17,17,17,17
987,12,12,12,12
988,19,19,19,19
989,19,19,19,19
990,11,11,11,11
991,17,28,28,17
992,5,5,5,5
993,7,7,7,7
994,5,5,5,5
995,11,11,11,11
996,25,25,25,25
997,19,19,19,19
998,28,28,28,28
999,16,16,16,16
1000,8,8,8,8
1001,3,3,3,3
1002,19,19,19,19
1003,8,8,8,8
1004,19,19,19,19
1005,6,6,6,6
1006,13,13,13,13
1007,8,8,8,8
1008,5,5,5,5
1009,8,8,8,8
1010,5,5,5,5
1011,12,12,12,12
1012,8,8,8,8
1013,11,11,6,11
1014,11,11,11,11
1015,25,25,25,25
1016,25,25,25,25
1017,28,28,28,28
1018,8,8,8,8
1019,17,17,17,17
1020,7,7,7,7
1021,20,20,20,20
1022,9,11,9,9
1023,3,3,3,3
1024,19,19,19,19
1025,19,19,19,19
1026,11,11,11,11
1027,6,6,7,6
1028,5,5,5,5
1029,5,5,5,5
1030,12,12,12,12
1031,11,11,11,11
1032,28,9,28,28
1033,19,19,19,19
1034,2,2,2,2
1035,9,26,7,9
1036,28,13,28,13
1037,7,28,7,28
1038,5,5,5,5
1039,5,11,5,5
1040,26,26,26,26
1041,11,11,11,11
1042,28,28,17,17
1043,8,4,8,4
1044,11,7,7,11
1045,8,20,8,20
1046,21,15,21,15
1047,26,26,26,26
1048,20,6,6,15
1049,7,7,7,7
1050,12,12,12,12
1051,6,6,6,6
1052,2,2,2,2
1053,11,11,11,11
1054,8,8,8,8
1055,19,19,19,19
1056,5,5,5,5
1057,11,11,11,11
1058,17,17,17,17
1059,16,16,16,16
1060,15,8,15,8
1061,8,6,8,6
1062,11,11,11,11
1063,10,10,10,10
1064,11,27,11,11
1065,11,11,11,11
1066,19,19,19,19
1067,3,3,3,3
1068,26,26,26,26
1069,26,26,26,8
1070,12,12,12,12
1071,7,7,7,7
1072,11,11,11,11
1073,2,8,2,2
1074,5,5,5,5
1075,11,11,11,11
1076,28,28,28,28
1077,13,13,13,13
1078,19,19,19,19
1079,12,12,12,12
1080,5,5,5,5
1081,19,19,19,19
1082,11,11,11,11
1083,19,19,19,19
1084,15,15,15,15
1085,20,20,20,20
1086,10,7,7,10
1087,11,11,11,11
1088,5,11,5,5
1089,11,6,6,11
1090,28,28,28,28
1091,5,5,5,5
1092,1,1,1,1
1093,16,16,4,16
1094,5,5,5,5
1095,28,28,28,28
1096,8,8,4,8
1097,17,17,17,17
1098,11,11,11,11
1099,2,2,2,2
1100,6,6,6,6
1101,28,28,9,9
1102,5,5,5,5
1103,11,11,11,11
1104,5,5,5,5
1105,6,6,26,6
1106,11,11,12,12
1107,9,9,9,9
1108,6,6,6,6
1109,17,17,17,17
1110,8,8,8,8
1111,27,27,27,27
1112,19,19,19,19
1113,6,6,2,2
1114,12,12,12,12
1115,1,1,1,1
1116,28,28,28,28
1117,19,19,19,19
1118,6,6,6,6
1119,13,13,15,13
1120,25,25,25,25
1121,8,8,11,11
1122,9,9,9,9
1123,10,26,10,26
1124,8,11,8,8
1125,11,11,11,11
1126,19,19,19,19
1127,28,28,28,28
1128,6,6,6,6
1129,28,28,28,28
1130,26,26,26,26
1131,28,28,28,28
1132,11,11,11,11
1133,11,11,11,11
1134,26,20,20,8
1135,7,7,7,7
1136,12,12,12,12
1137,7,7,7,7
1138,28,28,28,28
1139,2,2,2,2
1140,6,9,9,6
1141,16,16,16,16
1142,7,7,7,7
1143,5,5,5,5
1144,11,11,11,11
1145,19,26,19,26
1146,7,7,16,16
1147,11,11,11,11
1148,5,5,5,5
1149,15,15,15,15
1150,28,28,28,28
1151,11,20,20,11
1152,9,15,9,9
1153,28,28,28,28
1154,19,19,19,19
1155,17,17,17,17
1156,9,9,9,17
1157,11,11,11,11
1158,28,28,28,28
1159,11,9,11,11
1160,15,15,15,15
1161,28,28,28,28
1162,9,9,9,9
1163,13,13,13,13
1164,28,19,28,28
1165,8,8,8,8
1166,19,8,8,19
1167,26,10,26,10
1168,11,11,11,11
1169,9,6,9,6
1170,28,28,28,28
1171,5,5,5,5
1172,8,8,8,8
1173,9,9,9,9
1174,11,11,11,11
1175,28,28,28,28
1176,15,15,15,15
1177,8,8,8,8
1178,20,20,20,20
1179,15,15,15,15
1180,9,25,25,9
1181,11,11,11,11
1182,17,28,17,17
1183,6,8,8,6
1184,26,1,1,1
1185,3,3,3,3
1186,9,9,26,9
1187,8,8,8,8
1188,11,11,11,11
1189,5,5,5,5
1190,1,1,1,1
1191,11,11,19,19
1192,23,23,23,23
1193,17,17,17,17
1194,11,11,11,11
1195,11,11,11,11
1196,16,16,16,16
1197,8,8,6,6
1198,30,28,30,28
1199,7,7,7,7
1200,21,21,21,21
1201,11,11,11,11
1202,19,19,19,19
1203,16,16,16,16
1204,11,11,11,11
1205,28,28,28,28
1206,8,8,8,8
1207,2,2,2,2
1208,19,19,19,19
1209,25,25,25,25
1210,3,3,3,3
1211,11,11,11,6
1212,12,12,12,12
1213,9,9,9,9
1214,10,10,10,10
1215,8,8,8,8
1216,11,26,26,11
1217,10,10,10,10
1218,2,2,2,2
1219,12,12,12,12
1220,8,8,8,8
1221,12,12,12,12
1222,17,17,17,17
1223,17,17,17,17
1224,19,19,19,19
1225,20,20,20,20
1226,19,19,19,19
1227,1,11,1,11
1228,19,19,19,19
1229,8,8,8,8
1230,6,6,6,6
1231,6,6,6,6
1232,25,25,25,25
1233,10,28,10,28
1234,7,7,7,7
1235,9,9,11,11
1236,25,25,25,25
1237,8,8,8,8
1238,5,5,5,5
1239,11,11,11,11
1240,17,17,17,17
1241,6,26,6,26
1242,16,16,16,16
1243,12,12,12,12
1244,22,22,22,22
1245,15,11,11,11
1246,20,20,20,20
1247,11,11,11,11
1248,26,26,26,26
1249,12,12,12,12
1250,8,8,8,8
1251,20,20,20,20
1252,9,9,9,9
1253,6,6,6,6
1254,28,28,6,6
1255,6,6,9,6
1256,11,11,11,11
1257,5,5,5,5
1258,7,7,7,7
1259,19,19,19,19
1260,12,12,12,12
1261,2,2,2,2
1262,8,8,8,8
1263,26,20,20,20
1264,11,11,11,11
1265,19,27,19,19
1266,16,16,16,16
1267,11,11,11,11
1268,8,8,8,8
1269,11,11,11,11
1270,11,11,11,11
1271,5,5,5,5
1272,8,8,8,8
1273,15,15,15,15
1274,19,19,19,19
1275,7,7,7,7
1276,11,11,11,11
1277,11,29,11,11
1278,12,12,12,12
1279,11,11,11,11
1280,10,26,10,10
1281,26,26,26,26
1282,20,20,20,20
1283,11,11,11,11
1284,23,23,23,23
1285,25,25,25,25
1286,11,11,11,11
1287,11,11,11,11
1288,17,17,17,17
1289,8,8,8,8
1290,28,28,28,28
1291,11,11,11,11
1292,5,5,5,5
1293,20,9,20,9
1294,20,20,20,20
1295,8,8,25,8
1296,5,1,5,5
1297,12,12,12,12
1298,1,11,1,11
1299,10,10,10,10
1300,7,7,7,7
1301,8,6,6,8
1302,6,6,6,6
1303,11,12,11,11
1304,8,8,8,8
1305,7,7,7,7
1306,8,8,8,8
1307,26,26,26,26
1308,7,7,7,7
1309,17,17,17,17
1310,25,25,25,25
1311,9,20,20,9
1312,11,11,11,11
1313,26,26,26,26
1314,7,28,28,9
1315,5,5,5,5
1316,6,6,6,6
1317,25,1,25,25
1318,28,28,28,28
1319,16,16,16,16
1320,2,2,2,2
1321,8,8,8,8
1322,6,6,6,6
1323,11,11,11,11
1324,28,28,28,28
1325,6,6,6,6
1326,28,28,28,28
1327,28,28,28,28
1328,15,9,15,15
1329,11,11,15,15
1330,8,8,8,26
1331,8,8,8,8
1332,9,20,9,20
1333,17,17,17,11
1334,11,14,14,11
1335,15,15,15,15
1336,8,8,8,8
1337,6,6,6,8
1338,2,2,2,2
1339,17,17,17,17
1340,8,8,8,8
1341,8,8,5,5
1342,5,5,5,5
1343,6,6,6,25
1344,26,8,26,8
1345,28,25,25,28
1346,19,25,19,25
1347,9,9,9,9
1348,8,8,11,8
1349,8,8,8,8
1350,5,5,5,5
1351,19,28,11,19
1352,26,26,5,8
1353,16,11,11,11
1354,15,15,15,15
1355,5,5,5,5
1356,8,8,8,8
1357,26,26,26,26
1358,8,20,8,8
1359,6,6,6,6
1360,7,7,7,7
1361,28,28,9,28
